Name,#Images,#Recognised images,Percent of recognising
Eric_Taino,1,1,100.0
Sheila_Taormina,1,1,100.0
Petria_Thomas,3,3,100.0
Silvio_Berlusconi,33,33,100.0
Michael_Hagee,1,1,100.0
Mary_Anne_Souza,1,1,100.0
Kristanna_Loken,5,5,100.0
Michael_Stark,1,1,100.0
Albert_Costa,6,6,100.0
Toby_Keith,1,1,100.0
Sam_Torrance,3,3,100.0
Carlos_Savedra,1,1,100.0
Lars_Burgsmuller,1,1,100.0
Mel_Gibson,2,2,100.0
Bianca_Jagger,1,1,100.0
Estella_Warren,1,1,100.0
Natalia_Vodonova,1,1,100.0
Martie_Maguire,1,1,100.0
Michelle_Chiklis,1,1,100.0
Valeri_Bure,1,1,100.0
Michelle_Bachelet,1,1,100.0
Larry_Tanenbaum,1,1,100.0
Juergen_Schrempp,1,1,100.0
Roy_Jones_Jr,2,2,100.0
Amy_Smart,1,1,100.0
Will_Self,1,1,100.0
Brian_StPierre,1,1,100.0
Nicolas_Escude,2,2,100.0
Mike_Stefanik,1,1,100.0
Alfredo_Moreno,1,1,100.0
William_Shatner,1,1,100.0
Alexandre_Despatie,1,1,100.0
Bronson_Arroyo,1,1,100.0
Nate_Huffman,1,1,100.0
Billy_Sollie,2,2,100.0
Norman_Mailer,1,1,100.0
Matt_Roney,1,1,100.0
Butch_Davis,2,2,100.0
Markus_Naslund,2,2,100.0
Eric_Hinske,2,2,100.0
David_Myers,2,2,100.0
Harold_Scott,1,1,100.0
Angie_Arzola,1,1,100.0
Toshihiko_Fukui,3,3,100.0
Jeffrey_Katzenberg,1,1,100.0
Bryan_Adams,1,1,100.0
Bob_Crippen,1,1,100.0
Johnny_Carson,2,2,100.0
Bill_Clinton,28,26,92.85714285714286
Irina_Framtsova,1,1,100.0
Alan_Greenspan,5,5,100.0
Ambrose_Lee,1,1,100.0
Jim_Talent,1,1,100.0
Norodom_Sihanouk,3,3,100.0
Mia_Mottley,1,1,100.0
Heather_Willson,1,1,100.0
William_Martin,2,2,100.0
Martin_Howard,1,1,100.0
Alma_Powell,1,1,100.0
Mitar_Rasevic,1,1,100.0
Bob_Colvin,2,2,100.0
Jennie_Garth,1,1,100.0
Jennifer_Capriati,41,15,36.58536585365854
Imam_Samudra,1,1,100.0
Martha_Sahagun_de_Fox,1,1,100.0
Shawn_Bradley,1,1,100.0
Dirk_Kempthorne,1,1,100.0
George_McCloud,1,1,100.0
Tom_Hanks,10,10,100.0
Gerhard_Schroeder,108,108,100.0
Florecita_Cobian,1,1,100.0
Cedric_Benson,1,1,100.0
Mohammad_Hasanein,1,1,100.0
Zurab_Tsereteli,1,1,100.0
Dino_de_Laurentis,2,2,100.0
Mark_Broxmeyer,1,1,100.0
Florencia_Kirchner,1,1,100.0
Eugene_Melnyk,1,1,100.0
Alejandro_Lembo,1,1,100.0
Joseph_Salgado,1,1,100.0
Max_Mayfield,2,1,50.0
Kim_Jong-Il,4,4,100.0
Mark_Hurlbert,5,5,100.0
Catherine_Donkers,1,1,100.0
Nuon_Chea,1,1,100.0
Boris_Yeltsin,2,2,100.0
Ken_Watanabe,2,2,100.0
Brandon_Jones,1,1,100.0
Mario_Alfaro-Lopez,1,1,100.0
Demetrius_Ferraciu,2,2,100.0
Mireya_Moscoso,5,5,100.0
Jose_Vicente_Rangel,1,1,100.0
Charlie_Sheen,1,1,100.0
Alanis_Morissette,1,1,100.0
Mariano_Zabaleta,1,1,100.0
Mian_Khursheed_Mehmood_Kasuri,4,4,100.0
Nathan_Lane,2,2,100.0
Brad_Johnson,5,5,100.0
Nicolas_Cage,4,4,100.0
Salman_Khan,1,1,100.0
Marina_Silva,1,1,100.0
Pete_Rose,2,2,100.0
Nicolas_Macrozonaris,1,1,100.0
Millicent_Martin,1,1,100.0
Tommy_Thompson,10,10,100.0
Peter_Hartz,1,1,100.0
Leo_Mullin,1,1,100.0
Alexandra_Vodjanikova,2,2,100.0
Peter_Care,1,1,100.0
Debra_Messing,3,3,100.0
George_Gregan,1,1,100.0
Leslie_Wiser_Jr,1,1,100.0
Hassan_Nasrallah,2,2,100.0
Ms_Dynamite,1,1,100.0
Angela_Alvarado_Rosa,1,1,100.0
Junichiro_Koizumi,60,60,100.0
Trevor_McDonald,1,1,100.0
Monica_Lewinsky,3,3,100.0
Mona_Ayoub,1,1,100.0
Andrew_Bernard,1,1,100.0
Carl_Reiner,2,2,100.0
Ernie_Preate,1,1,100.0
Timothy_Wirth,1,1,100.0
Thomas_Scavone,1,1,100.0
Jose_Serra,9,9,100.0
Michael_Piuze,1,1,100.0
Kim_Yun-kyu,1,1,100.0
Julia_Tymoshenko,3,3,100.0
Carlos_Quintanilla_Schmidt,2,2,100.0
Donatella_Versace,2,2,100.0
Tim_Floyd,2,2,100.0
Carlos_Queiroz,1,1,100.0
Tom_Hanusik,1,1,100.0
Eric_Ryan_Donnelly,1,1,100.0
Jolanta_Kwasniewski,2,2,100.0
George_Foreman,2,2,100.0
Warren_Granados,1,1,100.0
Victor_Kraatz,1,1,100.0
Mary_Sue_Coleman,1,1,100.0
Nigel_Redden,1,1,100.0
Alan_Ball,2,2,100.0
Brian_Griese,2,2,100.0
Brent_Coles,1,1,100.0
Infanta_Cristina,1,1,100.0
Penny_Lancaster,1,1,100.0
William_Hurt,1,1,100.0
Paul_LeClerc,1,1,100.0
Catriona_Le_May_Doan,1,1,100.0
Mickey_Loomis,1,1,100.0
Frances_Fisher,2,2,100.0
Hank_Stram,1,1,100.0
Julio_Cesar_Franco,1,1,100.0
Deece_Eckstein,1,1,100.0
Brendan_Stai,1,1,100.0
Troy_Hudson,1,1,100.0
Patti_Lank,1,1,100.0
Michael_Doleac,1,1,100.0
Andrea_Kiser,1,1,100.0
Derek_Lowe,2,2,100.0
Mitchell_Potter,1,1,100.0
Mohammed_Baqir_al-Hakim,3,3,100.0
Mary_Hill,1,1,100.0
Jong_Wook_Lee,4,2,50.0
Andy_Rooney,1,1,100.0
Nicholas_Byron,2,2,100.0
Martha_Martinez_Flores,1,1,100.0
Monica_Serra,1,1,100.0
Pierre_Png,1,1,100.0
Tracee_Ellis_Ross,2,2,100.0
Imad_Khadduri,1,1,100.0
Juan_Valencia_Osorio,2,2,100.0
Florencia_Macri,1,1,100.0
William_Hochul,2,2,100.0
Bijan_Darvish,3,3,100.0
Alonzo_Mourning,1,1,100.0
Mary_Descenza,1,1,100.0
Daryl_Hannah,2,2,100.0
Laurent_Jalabert,2,2,100.0
Alberto_Sordi,1,1,100.0
Carey_Lowell,1,1,100.0
Alyse_Beaupre,1,1,100.0
Tom_Koenigs,1,1,100.0
Alec_Baldwin,4,4,100.0
Jimmy_Gurule,1,1,100.0
Carlos_Manuel_Pruneda,3,3,100.0
Candice_Bergen,3,3,100.0
Orrin_Hatch,2,2,100.0
JT_Snow,1,1,100.0
Irv_Nathan,1,1,100.0
Tim_Allen,4,4,100.0
Judith_Nathan,1,1,100.0
Dimitri_Perricos,1,1,100.0
Mike_Farrar,1,1,100.0
Irina_Yatchenko,1,1,100.0
Victoria_Clarke,5,5,100.0
Sanjay_Chawla,1,1,100.0
Ulrich_Kueperkoch,1,1,100.0
Melanie_Griffith,3,3,100.0
Judd_Davies,1,1,100.0
Peter_Camejo,1,1,100.0
Eric_Benet,1,1,100.0
Michael_Friedman,1,1,100.0
Mohammad_Mustapha_Miro,1,1,100.0
Mick_McCarthy,1,1,100.0
Demetrin_Veal,1,1,100.0
Andy_North,1,1,100.0
Melana_Scantlin,1,1,100.0
Mark_Podlesny,1,1,100.0
Hassan_Wirajuda,2,2,100.0
Mark_Rosenbaum,1,1,100.0
Kwon_Young-gil,1,1,100.0
Eric_Staal,1,1,100.0
Tiger_Woods,23,21,91.30434782608695
Norodom_Chakrapong,1,1,100.0
Kurt_Warner,5,5,100.0
Walter_Annenberg,1,1,100.0
Alberto_Ruiz_Gallardon,2,1,50.0
Kirk_Franklin,1,1,100.0
Kenenisa_Bekele,1,1,100.0
Muffet_McGraw,1,1,100.0
Martin_Keown,1,1,100.0
Brian_Scalabrine,1,1,100.0
Cassandra_Heise,1,1,100.0
Alanna_Ubach,1,1,100.0
Mike_Johanns,1,1,100.0
Omar_el-Heib,1,1,100.0
Tony_Curtis,2,2,100.0
Missy_Crider,1,1,100.0
Scott_Fawell,1,1,100.0
Severino_Antinori,1,1,100.0
Michelle_Branch,2,2,100.0
Brad_Miller,1,1,100.0
Wayne_Allard,1,1,100.0
Sammy_Sosa,2,1,50.0
Jose_Bove,1,1,100.0
William_Hyde,1,1,100.0
Dennis_Hastert,5,5,100.0
Laura_Flessel,1,1,100.0
Carl_Pope,1,1,100.0
Tim_Norbeck,1,1,100.0
