Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Bill_Callahan,3,2,66.7,1,33.3,2210,6688,33.0
Alejandro_Toledo,39,7,17.9,32,82.1,1571,6688,23.5
Patrick_Dennehy,1,0,0.0,1,100.0,106,6688,1.6
Naomi_Hayashi,1,0,0.0,1,100.0,4,6688,0.1
Rudolph_Giuliani,24,5,20.8,19,79.2,1733,6688,25.9
Willis_Roberts,1,0,0.0,1,100.0,787,6688,11.8
Nikki_Teasley,1,0,0.0,1,100.0,1129,6688,16.9
Marlon_Devonish,1,0,0.0,1,100.0,511,6688,7.6
Bill_Kong,1,1,100.0,0,0.0,1764,6688,26.4
Jorge_Moreno,1,1,100.0,0,0.0,1768,6688,26.4
Leslie_Wiser_Jr,1,0,0.0,1,100.0,910,6688,13.6
Allison_Janney,2,1,50.0,1,50.0,1867,6688,27.9
Alisha_Richman,1,0,0.0,1,100.0,252,6688,3.8
Anastasia_Kelesidou,1,0,0.0,1,100.0,2236,6688,33.4
Hank_McKinnell,1,0,0.0,1,100.0,2005,6688,30.0
Michael_Winterbottom,3,1,33.3,2,66.7,1210,6688,18.1
Geoff_Dixon,1,1,100.0,0,0.0,1234,6688,18.5
Earl_Counter,1,1,100.0,0,0.0,2384,6688,35.6
Jim_Tressel,4,1,25.0,3,75.0,1859,6688,27.8
Olivier_Rochus,1,0,0.0,1,100.0,1974,6688,29.5
Andrei_Mikhnevich,2,2,100.0,0,0.0,2433,6688,36.4
Brooke_Gordon,1,0,0.0,1,100.0,1774,6688,26.5
Tzipora_Obziler,1,1,100.0,0,0.0,974,6688,14.6
Mike_Price,2,1,50.0,1,50.0,2413,6688,36.1
Dirk_Kempthorne,1,1,100.0,0,0.0,1979,6688,29.6
Mary_Zorn,1,0,0.0,1,100.0,139,6688,2.1
Mariangel_Ruiz_Torrealba,3,0,0.0,3,100.0,1802,6688,26.9
Tom_Ridge,33,2,6.1,31,93.9,1030,6688,15.4
Larry_Nichols,1,1,100.0,0,0.0,1785,6688,26.7
Bob_Graham,6,2,33.3,4,66.7,1983,6688,29.7
Mike_Martz,7,1,14.3,6,85.7,654,6688,9.8
Troy_Hudson,1,1,100.0,0,0.0,2360,6688,35.3
George_Lopez,5,4,80.0,1,20.0,1436,6688,21.5
Mark_Heller,1,0,0.0,1,100.0,666,6688,10.0
Jose_Genoino,1,0,0.0,1,100.0,2285,6688,34.2
Georgina_Bardach,1,0,0.0,1,100.0,495,6688,7.4
William_Swor,1,0,0.0,1,100.0,1758,6688,26.3
Paulo_Cesar_Pinheiro,2,0,0.0,2,100.0,1993,6688,29.8
Myung_Yang,1,0,0.0,1,100.0,2280,6688,34.1
Nicoletta_Braschi,1,0,0.0,1,100.0,1388,6688,20.8
Anette_Hosoi,1,1,100.0,0,0.0,2208,6688,33.0
Norbert_van_Heyst,1,1,100.0,0,0.0,1756,6688,26.3
